model,datatype,sort_mode,rmse,mae,mape,acc@10,acc@20,acc@30,hidden,embedding,num_head,num_block,stop_epoch,train_time,test_time,batch,lr,epoch,train_mode,time,is_test
RankPETA,order,pnn_idx,11.82422326664103,9.253292083740234,0.7635929584503174,0.6244725738396625,0.9240506329113924,0.9746835443037974,8,64,2,2,260,gatv2,gru,64,0.001,1000,sort,2023-12-02 05:47:19,False
RankPETA,order,pnn_order,11.823383141724522,9.469581604003906,0.8009518384933472,0.5864978902953587,0.9282700421940928,0.9873417721518988,8,32,2,2,157,gcn,gru,64,0.001,1000,sort,2023-12-02 06:36:35,False
RankPETA,order,pnn_idx,12.283783707111011,9.650934219360352,0.7963833212852478,0.5864978902953587,0.9240506329113924,0.9789029535864979,8,64,2,2,89,gatv2,tft,64,0.001,1000,sort,2023-12-02 06:52:11,False
RankPETA,order,pnn_idx,11.120648851194881,8.790716171264648,0.7446852922439575,0.6286919831223629,0.9367088607594937,0.9915611814345991,8,64,4,2,178,gatv2,gru,64,0.001,1000,sort,2023-12-02 07:26:37,False
RankPETA,order,pnn_idx,13.366740591046133,10.637147903442383,0.9251919984817505,0.5485232067510548,0.8945147679324894,0.9704641350210971,8,64,2,4,57,gcn,tft,64,0.001,1000,sort,2023-12-02 07:32:10,False
RankPETA,order,pnn_order,11.681050035490843,9.113967895507812,0.7238750457763672,0.6455696202531646,0.9324894514767933,0.9789029535864979,8,32,4,2,174,gcn,gru,64,0.001,1000,sort,2023-12-02 08:03:56,False
RankPETA,order,pnn_idx,11.697371123929406,9.337624549865723,0.8308961391448975,0.6075949367088608,0.9282700421940928,0.9831223628691983,8,64,4,2,44,gatv2,tft,64,0.001,1000,sort,2023-12-02 08:13:25,False
RankPETA,order,pnn_order,13.636591189248701,10.792938232421875,0.9228255748748779,0.5232067510548524,0.8734177215189873,0.9746835443037974,8,64,2,2,83,gcn,gru,64,0.001,1000,sort,2023-12-02 08:43:14,False
RankPETA,order,pnn_order,12.475399376357029,10.020968437194824,0.915259838104248,0.5864978902953587,0.9071729957805907,0.9746835443037974,8,64,4,2,62,gcn,gru,64,0.001,1000,sort,2023-12-02 09:12:20,False
RankPETA,order,pnn_idx,11.254294359955551,8.97358512878418,0.7126140594482422,0.6329113924050633,0.9367088607594937,0.9831223628691983,8,32,2,4,200,gatv2,gru,64,0.001,1000,sort,2023-12-02 09:27:35,False
